household_count,gu_name,umd_nm,apt_name,jibun,apt_seq,sgg_cd,bjdong_cd,land_cd,bonbun,bubun,trade_count,latest_deal_date,max_deal_amount,exclusive_area_count,exclusive_areas
72,강남구,개포동,개포현대200동,655-1,11680-295,11680,,1,0655,0001,9,2025-06-26,235000,1,82.2
19,강남구,개포동,개포현대6차,1242-2,11680-298,11680,,1,1242,0002,2,2025-12-09,175500,2,132.63|133.19
19,강남구,개포동,그린빌리지,1167,11680-296,11680,,1,1167,0000,1,2022-02-11,180000,1,197.91
10,강남구,개포동,뉴현대파크빌,1164-30,11680-673,11680,,1,1164,0030,9,2025-08-13,80000,5,69.16|69.55|69.86|73.55|83.46
78,강남구,개포동,대치푸르지오발라드,176-2,11680-5271,11680,,1,0176,0002,61,2025-07-15,171666,7,35.1099|40.9659|41.3882|52.0103|55.4924|59.4152|59.9957
10,강남구,개포동,리더스,1164-25,11680-477,11680,,1,1164,0025,3,2024-08-22,90000,2,83.62|84.16
12,강남구,개포동,리치타운,1204-5,11680-581,11680,,1,1204,0005,3,2026-04-10,135000,2,68.64|107.88
18,강남구,개포동,상지리츠빌,176-1,11680-449,11680,,1,0176,0001,2,2021-07-10,350000,1,161.07
12,강남구,개포동,새롬(1164-12),1164-12,11680-670,11680,,1,1164,0012,3,2026-02-11,111500,1,73.5
14,강남구,개포동,새롬(1164-13),1164-13,11680-671,11680,,1,1164,0013,9,2026-01-21,95000,2,59.67|59.96
15,강남구,개포동,새롬(1164-14),1164-14,11680-672,11680,,1,1164,0014,6,2023-11-26,64000,2,40.35|57.93
19,강남구,개포동,아람손프라자/비바빌,1164-7,11680-1364,11680,,1,1164,0007,7,2025-10-23,81000,2,59.96|84.96
9,강남구,개포동,에버그린,166-4,11680-448,11680,,1,0166,0004,2,2021-10-15,120000,2,62.15|84.89
15,강남구,개포동,우찬현대(1260-11),1260-11,11680-3662,11680,,1,1260,0011,2,2021-03-07,77500,2,59.7|100.5
10,강남구,개포동,우찬현대(1260-2),1260-2,11680-3660,11680,,1,1260,0002,2,2026-01-24,92500,1,65.06
